Time,Total Inflow,Total Outflow
100,0,28523.91760000054
Time,Total Inflow,Total Outflow
101,0,60565.65795031971
Time,Total Inflow,Total Outflow
102,0,106327.56773320082
Time,Total Inflow,Total Outflow
103,0,153602.70612000892
Time,Total Inflow,Total Outflow
104,0,189667.4570810594
Time,Total Inflow,Total Outflow
105,0,230798.38059710065
Time,Total Inflow,Total Outflow
106,0,275863.64593352564
Time,Total Inflow,Total Outflow
107,0,322959.9968721897
Time,Total Inflow,Total Outflow
108,0,363436.8427703565
Time,Total Inflow,Total Outflow
109,0,391568.6141888284
Time,Total Inflow,Total Outflow
110,0,425015.6941175863
Time,Total Inflow,Total Outflow
111,0,461073.294632348
Time,Total Inflow,Total Outflow
112,0,498620.9059025933
Time,Total Inflow,Total Outflow
113,0,554442.4893949231
Time,Total Inflow,Total Outflow
114,0,598858.0586831297
Time,Total Inflow,Total Outflow
115,0,650298.6963339141
Time,Total Inflow,Total Outflow
116,0,700301.4282521002
Time,Total Inflow,Total Outflow
117,0,742932.1129029826
Time,Total Inflow,Total Outflow
118,0,780990.3119073941
Time,Total Inflow,Total Outflow
119,0,828725.8988407607
Time,Total Inflow,Total Outflow
120,0,881561.894974619
Time,Total Inflow,Total Outflow
121,0,922717.0945047764
Time,Total Inflow,Total Outflow
122,0,969135.0726389616
Time,Total Inflow,Total Outflow
123,0,1018738.6423229341
Time,Total Inflow,Total Outflow
124,0,1073034.3609579604
Time,Total Inflow,Total Outflow
125,0,1123871.188863683
Time,Total Inflow,Total Outflow
126,0,1173089.7514190315
Time,Total Inflow,Total Outflow
127,0,1218825.3408943925
Time,Total Inflow,Total Outflow
128,0,1265327.1636506312
Time,Total Inflow,Total Outflow
129,0,1314984.3986229722
Time,Total Inflow,Total Outflow
130,0,1368703.1820735396
Time,Total Inflow,Total Outflow
131,0,1426517.3194955387
Time,Total Inflow,Total Outflow
132,0,1469454.7291501232
Time,Total Inflow,Total Outflow
133,0,1520422.6259616136
Time,Total Inflow,Total Outflow
134,0,1563934.7846720323
Time,Total Inflow,Total Outflow
135,0,1619379.1046739763
Time,Total Inflow,Total Outflow
136,0,1673088.2294760672
Time,Total Inflow,Total Outflow
137,0,1718734.3782892562
Time,Total Inflow,Total Outflow
138,0,1760382.6069791457
Time,Total Inflow,Total Outflow
139,0,1816186.9960831609
Time,Total Inflow,Total Outflow
140,0,1864476.5592017283
Time,Total Inflow,Total Outflow
141,0,1913744.206396673
Time,Total Inflow,Total Outflow
142,0,1960228.6758174568
Time,Total Inflow,Total Outflow
143,0,1986611.3677634287
Time,Total Inflow,Total Outflow
144,0,2010000.514271672
Time,Total Inflow,Total Outflow
145,0,2040087.5620250856
Time,Total Inflow,Total Outflow
146,0,2061369.7794889337
Time,Total Inflow,Total Outflow
147,0,2073280.5065875037
Time,Total Inflow,Total Outflow
148,0,2086411.2499975583
Time,Total Inflow,Total Outflow
149,0,2098203.2989442665
